park_id,facility_type_code,park_name_korean,area,boundary_length,administration_code,administration_name3,park_type,geometry,activity_count,rpa_activity_count,total_steps,total_duration,total_kcal,average_steps_per_activity,average_duration_per_activity,average_cadence_per_activity,average_kcal_per_activity,std_steps_per_activity,std_duration_per_activity,std_cadence_per_activity,std_kcal_per_activity,rpa_ratio,rpa_count_zscore,rpa_ratio_zscore,composite_score,rank
11000UQ153PS201912151800,UQT220,양재천공원,19257,1525,11000,Seoul City Government,Regional park,"MULTIPOLYGON (((127.03944360878462 37.47382501757536, 127.03937781331267 37.473823416870054, 127.03909010328948 37.47382404930575, 127.03893065446138 37.47395177198589, 127.04041870695823 37.474790845739406, 127.04075710092093 37.47507058524737, 127.044089452201 37.478956535509376, 127.04433312124898 37.47841683737836, 127.04425060779059 37.47824910066946, 127.04385628984309 37.47808607114543, 127.0437788275468 37.47805204099765, 127.04370339864914 37.47801503676605, 127.04363045547908 37.47797523849364, 127.04355999799041 37.477932556084795, 127.04349225239844 37.477887169663965, 127.04342733186151 37.477839259396, 127.04336546249118 37.47778882520548, 127.04330675744299 37.47773604725745, 127.04325132982092 37.47768101561689, 127.04319940583275 37.47762391040897, 127.04146328186405 37.475614914540245, 127.04021851547665 37.474174445470695, 127.0401794915433 37.47413220121933, 127.04013707727756 37.47409212046932, 127.04009149882668 37.474054293243576, 127.04004298233657 37.47401880956498, 127.03999164104113 37.47398602979414, 127.03993781404061 37.47395586371701, 127.03988161451997 37.473928581594215, 127.03982326861997 37.47390427344937, 127.03976311548374 37.47388293916959, 127.03970138129591 37.47386475887959, 127.03963829223997 37.473849912704544, 127.03957407431534 37.47383822036892, 127.03950906679906 37.47382995206264, 127.03944360878462 37.47382501757536)))",3875,997,16347983,193619.9333,31730800.57,3481.257027,41.23082056,79.00793674,6756.984788,3353.099214,33.97421485,28.49272231,5981.783616,0.257290323,6.473514471,1.950598464,4.212056467,1
11000UQ153PS201912152531,UQT290,공원,5483,348,11000,Seoul City Government,Multi-use park,"MULTIPOLYGON (((126.99124580782141 37.49973929609601, 126.99118165852809 37.499697898616986, 126.9911629127626 37.499748911527554, 126.99116036783862 37.49975207381028, 126.99111498703772 37.49982246485883, 126.99110384552756 37.49983902423496, 126.99107736604219 37.49987836851477, 126.9911722230771 37.49989008083239, 126.9909254546658 37.50059598245315, 126.99101742778642 37.500614929654375, 126.99190367650833 37.50079751137636, 126.99179065438163 37.50071088912673, 126.99173298991656 37.50062411819519, 126.99174103177789 37.50052825260273, 126.99175089679939 37.50032679011152, 126.99167617718857 37.50008027066062, 126.99167346334062 37.50007810803757, 126.9916209956328 37.50003638741256, 126.99132190815723 37.499798858707344, 126.99125157481956 37.4997429906923, 126.99124580782141 37.49973929609601)))",1974,656,8221328,90233.48333,15363682.4,3520.911349,38.64389008,87.14179288,6579.735503,2779.167542,27.69430009,23.00652881,4958.714603,0.332320162,4.043993691,2.927002551,3.485498121,2
11000UQ153PS201912151663,UQT220,바위뫼공원,16386,520,11000,Seoul City Government,Regional park,"MULTIPOLYGON (((127.03446005026578 37.47380605926871, 127.03438260307419 37.47378670927559, 127.03430569482815 37.47396584998737, 127.03430490430854 37.473967742312475, 127.03421260511233 37.474110576818774, 127.03410324657192 37.47427999553453, 127.03393824809017 37.47440600109537, 127.03379675576798 37.474513979951176, 127.03365865347156 37.474619434906195, 127.03349839536578 37.474730752213645, 127.03343081106405 37.47477771272248, 127.0333927639937 37.47489782663883, 127.03419803329692 37.475175746157326, 127.0343296456596 37.47522301231663, 127.03445922468612 37.47527352250496, 127.03458688340096 37.475327186596985, 127.03468808480343 37.47537310935913, 127.03484674903191 37.47523755393191, 127.03494687445803 37.47515202050623, 127.0350472256777 37.47506630672989, 127.03514768971914 37.47498059283503, 127.0353139237687 37.474838547398384, 127.03489182310031 37.473891172965715, 127.03468820483603 37.47385410898805, 127.03457356294278 37.473831616046134, 127.03446005026578 37.47380605926871)))",1402,439,7530404,105523.4167,15761808.33,1756.567296,24.61474613,62.98024667,3676.652282,2422.167146,30.32661546,29.01106285,4671.623275,0.313124108,2.497935013,2.677193869,2.587564441,3
11650UQ153PS202207110004,UQT220,근린공원,7766,564,11650,Seocho-gu Local Government,Regional park,"MULTIPOLYGON (((127.02133665850354 37.499211986714705, 127.02143453777289 37.49900672270627, 127.02153764952153 37.49879056464583, 127.02100810114064 37.4986301762773, 127.02149719378909 37.49817923467346, 127.02149887922717 37.498138509232, 127.02152465853148 37.49812246708599, 127.02155835371336 37.498105973092215, 127.02159351962314 37.49809182143637, 127.02155015872985 37.49795064224502, 127.02157086294578 37.49794406143914, 127.02159540095245 37.497938200777384, 127.0216123431483 37.49786116247583, 127.02160949638592 37.4977879117343, 127.02159387070623 37.49771358196524, 127.02144096171763 37.4972212118211, 127.021416749727 37.49717634614261, 127.0213611043287 37.49731762316328, 127.02106788895429 37.498062086524165, 127.02098256539193 37.49827861068151, 127.02075055065933 37.49886754161085, 127.02070577879321 37.4989089047421, 127.02067560485247 37.49898837774361, 127.02070049437931 37.49902882855545, 127.021210106056 37.49918335611402, 127.02133665850354 37.499211986714705)))",1190,364,3968414,46439.68333,7694091.258,2661.578806,31.1466689,83.73521184,5160.35631,2356.744646,25.97472921,27.98979529,4358.084069,0.305882353,1.963582936,2.582952969,2.273267952,4
11000UQ153PS202209200005,UQT270,문화공원2,45385,1365,11000,Seoul City Government,Others,"MULTIPOLYGON (((126.99214370899094 37.50623277536885, 126.99209000262849 37.50611158689044, 126.99205484550322 37.505982200791955, 126.99196833407404 37.50591678138801, 126.99193113584046 37.5058316340785, 126.9918447369419 37.50577279187596, 126.99183422966883 37.50568926851227, 126.99176422947065 37.50563529298094, 126.99174536700203 37.505445270964344, 126.99178010956415 37.50527732781847, 126.99178794140849 37.50506018795508, 126.99210092281997 37.50471098648838, 126.99227818273835 37.504396191762595, 126.99252625730306 37.50392498888684, 126.99255284599955 37.50382912470301, 126.992568817738 37.50361612994308, 126.9925753901727 37.50360217397856, 126.99251960220556 37.503590754095846, 126.99250026366289 37.50358616654063, 126.99244352575057 37.50357456634985, 126.99229460149425 37.504050218782346, 126.99162576706934 37.50484470982811, 126.99140723933085 37.50554265840716, 126.99111536047762 37.505690955341976, 126.99108851056562 37.50577670094253, 126.98946325095869 37.50545295290357, 126.9893771749267 37.50571976560627, 126.98937740110824 37.50571984671932, 126.98910608446462 37.506584812462584, 126.9918251097367 37.50747234229986, 126.99206354108603 37.50671275751815, 126.99209072862922 37.50672401315215, 126.99250523816065 37.506893369998394, 126.9923994794666 37.50670509841187, 126.99224510978955 37.50662255500502, 126.9921832558088 37.50653416225557, 126.99218190079115 37.50651677289187, 126.99217501444387 37.50641513979996, 126.99217162759051 37.50636621535299, 126.99214370899094 37.50623277536885)))",2109,451,8978378,116574.2667,18277064.67,2571.864222,33.39280053,69.0599505,5235.481142,3453.792772,34.4400182,31.55129522,6164.601079,0.213845424,2.583431346,1.385226387,1.984328867,5
11650UQ153PS202207110003,UQT220,근린공원,4641,312,11650,Seocho-gu Local Government,Regional park,"MULTIPOLYGON (((127.02297048282831 37.49463949065832, 127.02309524870506 37.49437835825374, 127.02340703850926 37.494472995953934, 127.023545476824 37.49418311864406, 127.02297968904509 37.49401230314894, 127.02301856517903 37.49393111600915, 127.02269931426596 37.49383431621345, 127.02258937040477 37.49412761126911, 127.02245592246675 37.49448352984843, 127.02297048282831 37.49463949065832)))",828,248,2923860,34638.61667,5710086.892,2732.579439,32.37253894,78.12502858,5336.529805,2504.102527,24.36960478,29.3741042,4448.324311,0.299516908,1.137118389,2.500115976,1.818617183,6
11000UQ153PS201912151938,UQT210,종열공원,847,124,11000,Seoul City Government,Children park,"MULTIPOLYGON (((127.03396426733278 37.47392395750759, 127.03391203108764 37.47390676268751, 127.03343500553295 37.47400744440814, 127.03354039885689 37.47408048721338, 127.03373625499303 37.4742066644515, 127.03398702736622 37.47400972671576, 127.03399446929728 37.47396503493516, 127.03396426733278 37.47392395750759)))",545,180,2428702,27677.81667,4612832.583,3885.9232,44.28450667,85.47048593,7380.532133,3226.479343,37.36805027,28.80976039,5958.795518,0.330275229,0.652639172,2.900390729,1.776514951,7
11000UQ153PS201912150542,UQT220,근린공원,13516,1031,11000,Seoul City Government,Regional park,"MULTIPOLYGON (((126.99870373439714 37.502720032126376, 126.9993784428247 37.501247499437746, 126.99780997482351 37.50062915034068, 126.99776993531138 37.50074474720506, 126.9977484682619 37.50079649988432, 126.99893304635947 37.50126213176436, 126.99846955995099 37.502273671723046, 126.99764374000199 37.502027125357515, 126.9974894412759 37.502379915140395, 126.99870373439714 37.502720032126376)))",1164,304,5055274,61795.8,9878539.183,2649.514675,32.38773585,72.2338345,5177.431438,2803.934772,27.80510426,27.34102152,4961.958047,0.261168385,1.536101274,2.001065797,1.768583535,8
11000UQ153PS201912151105,UQT205,공원,241,99,11000,Seoul City Government,Others,"MULTIPOLYGON (((126.98623260339726 37.483476090631704, 126.98622831831261 37.483475927897125, 126.98622212234706 37.48347626947583, 126.98621795016645 37.48347689062663, 126.98621363092744 37.48347788116875, 126.98620853140845 37.48347955637063, 126.98620391798455 37.48348161906581, 126.98620025429261 37.48348369990396, 126.98619656788287 37.48348629430979, 126.98619376340741 37.4834887086296, 126.98619192008645 37.48349057346324, 126.98619029158293 37.483492456344685, 126.98618859514903 37.48349478971799, 126.98618557538965 37.48349946552291, 126.98619393009263 37.48350296249158, 126.98622161713676 37.48351419255457, 126.98624773274452 37.483524719627, 126.986279478434 37.48353774319333, 126.98630553749689 37.48354841440587, 126.98634302633802 37.483563988527834, 126.98638172490259 37.48357994121336, 126.9864204234619 37.48359600200634, 126.98643034964361 37.483600156889906, 126.98642283983038 37.48361191399743, 126.98645182708567 37.48362363972305, 126.98652816175112 37.48365447268353, 126.98661603938532 37.4836900373073, 126.98663338204616 37.48369696819259, 126.98664815296777 37.48367301242871, 126.98664936399598 37.4836667416123, 126.98664954556611 37.48366337189044, 126.98664979543699 37.483657668583895, 126.98664901633572 37.48365241564851, 126.98664753609097 37.483647901445934, 126.98664616858557 37.48364502707982, 126.986644167993 37.483641792233506, 126.98664194120292 37.48363890874916, 126.98663940909903 37.483636232456625, 126.98663702386777 37.48363411480331, 126.98663380201648 37.483631726744235, 126.98662949478654 37.483629158348045, 126.98662455433579 37.48362690522235, 126.98624825070733 37.48347962457962, 126.98624601221101 37.48347880437919, 126.98624180648908 37.48347756946384, 126.98623685449674 37.48347657772218, 126.98623260339726 37.483476090631704)))",791,228,3400484,37946.85,6451540.058,4024.24142,44.90751479,83.72186556,7634.958649,4550.688947,46.94215518,27.35197715,8206.763023,0.288242731,0.994624502,2.353398976,1.674011739,9
11000UQ153PS201912151689,UQT220,근린공원,652809,8408,11000,Seoul City Government,Regional park,"MULTIPOLYGON (((127.01016949765706 37.49729609658304, 127.0102919028135 37.496929660187774, 127.01032278652643 37.49683720635772, 127.01031562574717 37.496526181942926, 127.01031363193451 37.49649597158498, 127.00971512366615 37.49636546884541, 127.00967625604004 37.49635699313269, 127.00965450239147 37.495972952669945, 127.00924324372444 37.495865599175886, 127.00851598168028 37.49567946198376, 127.00786145889165 37.49550942629492, 127.00779758888437 37.495493527067545, 127.00779058940064 37.49549695123739, 127.00737806363142 37.495603939079274, 127.00695145802968 37.49571207039665, 127.00669490142813 37.49577552128966, 127.00663519512673 37.495792678920445, 127.0063124535766 37.49589922663225, 127.00607905588082 37.49597528022484, 127.00584755810024 37.49606169477846, 127.00577518645042 37.49608494319314, 127.00564774439265 37.49612594318933, 127.00543391181614 37.496262181574686, 127.00531472360436 37.49628867484723, 127.00531099186182 37.49628867496712, 127.00529424425265 37.496288657483895, 127.0052143058003 37.49628858793312, 127.00514177290873 37.49625991137235, 127.00513706856323 37.496258046447984, 127.0050944348004 37.49622768406917, 127.0050237543676 37.4961518220436, 127.00499371710632 37.496099141499094, 127.00468651615603 37.49556041556875, 127.0047046763841 37.49554294470082, 127.00540002808485 37.49487383265146, 127.00540194840755 37.49483418860799, 127.00547363730054 37.49475066356905, 127.00522881496651 37.494701657139146, 127.00497369618456 37.494513175766045, 127.00494236222069 37.494279277176645, 127.00464438329526 37.49396952175714, 127.00447323508956 37.49391336685377, 127.0044604003981 37.49390915950571, 127.00403928940648 37.49382420497704, 127.00393401133636 37.493788347389774, 127.0037239079635 37.49372167752318, 127.00360053693028 37.49366464648107, 127.003324959611 37.493522563361346, 127.00306306406809 37.49329353293771, 127.00286992273614 37.49312198494559, 127.00280772893115 37.49308008915011, 127.00273569747662 37.49304341922255, 127.00269442257492 37.49295728405691, 127.0026617427633 37.49294124658106, 127.0027780982342 37.492831053113285, 127.00300854660274 37.492610846056365, 127.00307228719487 37.49255155043048, 127.0031207173133 37.49250650879717, 127.00315137196607 37.49247752320957, 127.0033000540459 37.49233693803932, 127.00331686823635 37.492321035135305, 127.0033061137605 37.49228578818088, 127.00327840773508 37.492194598391976, 127.00307194943773 37.491532384301934, 127.00237484639304 37.491427722246726, 127.00222871876723 37.49144921207027, 127.00168516264463 37.491141360384304, 127.00127174763335 37.49121253025181, 127.00115417188174 37.49119041039734, 127.00101237581497 37.49111411318761, 127.00095715041736 37.491035951177686, 127.0009414335674 37.490957437949646, 127.00087701744054 37.49063563639596, 127.00094029623534 37.490341550248424, 127.00096741233627 37.4902155094517, 127.00104564865124 37.49014415056769, 127.00139952508471 37.48980337511232, 127.0020115691882 37.48992090962252, 127.00221068879003 37.48961356839559, 127.00174094845481 37.48928553400397, 127.00093730087904 37.48873179594356, 127.00070851327126 37.48857360594268, 127.00093653518397 37.48831837184888, 127.0013317649678 37.487875981836126, 127.00150741989707 37.487678915119474, 127.00187010171632 37.48727077929812, 127.00284116522914 37.48790585172926, 127.00356125589175 37.488370703700575, 127.00355314795814 37.48834379996418, 127.0037998467523 37.48835036374725, 127.0038103042969 37.488300141773635, 127.00406898719345 37.48826819599746, 127.00408580374848 37.488352700475275, 127.00435319337927 37.48832593464066, 127.00433851325157 37.48823295173411, 127.00431481928139 37.48808276451073, 127.00426319050908 37.48775560338776, 127.00424034506159 37.48761081311146, 127.00421692291329 37.487462328737536, 127.0042032383624 37.48737565278265, 127.0041975949072 37.48733988318288, 127.00417686458654 37.48720850873688, 127.00397528508634 37.48722871354085, 127.00378469579763 37.48724780955943, 127.00386845418436 37.48749729501608, 127.0039174181012 37.4876431660399, 127.00392180563965 37.48765624848022, 127.00376251622883 37.48778111228625, 127.00371163460137 37.48778111324273, 127.00341753704302 37.48771201159238, 127.00343734909116 37.48735458430293, 127.0030135298486 37.48733909322255, 127.00304551685022 37.48676524543394, 127.0030278886798 37.486727935217765, 127.00301231713004 37.486628149576354, 127.00304234598282 37.486522335655344, 127.00305003458055 37.486519767703385, 127.00312324583405 37.48649530455746, 127.00322167108104 37.48646241664694, 127.00319973466277 37.48641033911264, 127.00317750530078 37.48640354588091, 127.00317587690569 37.486393923214685, 127.00282058080604 37.48628364516648, 127.0025714569364 37.486206395839474, 127.00250498367609 37.48615815682719, 127.00243674700731 37.48613950666022, 127.0019734613349 37.48587216437166, 127.00186778825082 37.48581118499012, 127.00156329779847 37.48553565940989, 127.00150122409192 37.48542663829833, 127.00165069818883 37.485356179943615, 127.00187343877198 37.48521445201865, 127.00195880358243 37.48515804906452, 127.00204601064779 37.48501723125078, 127.00225480652698 37.484680066511515, 127.00230602504709 37.48466096495642, 127.00242854319848 37.48468460634292, 127.00255589838402 37.484545724977, 127.00236243172019 37.48450628970156, 127.00241878239554 37.48441537826837, 127.00245990337804 37.484349037231425, 127.0023909292064 37.48396719345527, 127.00233801456626 37.48392727948087, 127.00229617830271 37.483695812543495, 127.00229232259518 37.483674476858816, 127.00228232716326 37.48361908336571, 127.00227161940404 37.48355978854018, 127.00213765512366 37.48281832828389, 127.00208180195268 37.48279904713459, 127.00184900534109 37.482718768794555, 127.00136170564417 37.48255082249713, 127.00079605631889 37.48235584368987, 127.000578073514 37.48228069863764, 127.00036268341101 37.48200065645386, 127.0003286519914 37.48199346612465, 127.00030931852996 37.48198938439189, 127.00002996770272 37.48190531776606, 126.9998799585204 37.48187221298778, 126.99986971530018 37.481865797714505, 126.99974758666094 37.481855101061626, 126.99975002869314 37.48185905649495, 126.99992264708735 37.482032835114666, 126.9997119987526 37.48216715339215, 126.99954760038318 37.4819830671484, 126.9994711918787 37.48203854952488, 126.9994621683826 37.48208159922095, 126.9994923766361 37.482149517235904, 126.9995150780719 37.48220101886823, 126.99938636503626 37.48232075971635, 126.99935947819068 37.482344734878026, 126.999267085829 37.482278689747375, 126.99919765409047 37.48229065370531, 126.99906510305682 37.48220288447541, 126.99896327999639 37.4821891780869, 126.99879120541654 37.48234728198513, 126.99862055172305 37.482582466336765, 126.99861633934562 37.482749511897616, 126.99882758134513 37.48287096287146, 126.99880969442161 37.48288136902925, 126.9989087887889 37.48303289265925, 126.99904196763046 37.48297879940023, 126.999108942791 37.48308443418398, 126.99917351000934 37.48318625764442, 126.99924006722405 37.48329127065089, 126.99930539223254 37.483396229534875, 126.99932619498628 37.48342921558018, 126.99937190432554 37.483510585845934, 126.99941819035189 37.48359332562507, 126.9994337472095 37.48362017573837, 126.99950167274451 37.48374401053018, 126.9995174896555 37.48377294194911, 126.99959116031285 37.48385105097038, 126.99974975169303 37.4840209462392, 126.9996088607777 37.4840640929974, 126.99954104403554 37.48408484194124, 126.99947330638236 37.484106284618385, 126.99934568905375 37.48414607055637, 126.99920644839193 37.484190072815245, 126.99905726908082 37.484236453346426, 126.99891831079272 37.48427906772912, 126.99889204550148 37.48428737437963, 126.99892373614603 37.484330217684835, 126.99894880268101 37.484330038031864, 126.99911922569716 37.48432949200084, 126.99924582429003 37.4843420184171, 126.99925750383301 37.48434473966446, 126.99937506747169 37.4843958105989, 126.99939053449125 37.48440630754163, 126.99949430366291 37.484483011590655, 126.99954642578153 37.484520755408795, 126.99952172971163 37.484618333417224, 126.99947817494115 37.48468952978256, 126.9994136928676 37.484716234325894, 126.99941905899347 37.484877027077104, 126.99934524738575 37.48495252062461, 126.99922991840518 37.485006344253485, 126.99911304027614 37.48505942891696, 126.99886017499226 37.48517458044802, 126.99895315801857 37.48525492476348, 126.99902705611643 37.48531977138673, 126.99891084377573 37.48539224540301, 126.99874753783614 37.48549332499161, 126.99864636328094 37.48555479787503, 126.99849102797957 37.48565292201639, 126.99838808745163 37.48575516492486, 126.99835498001664 37.485787212647494, 126.99833599613483 37.48578451814528, 126.99833635435884 37.4858692663032, 126.99853827095797 37.485848278242486, 126.99855234790175 37.48584685501494, 126.99890289189841 37.48581138187031, 126.99903169861481 37.48579834716505, 126.99910277294762 37.48579115865047, 126.99920567580942 37.48578055592616, 126.99933764831977 37.485766953318574, 126.99958636300366 37.48574132416498, 126.99970641542437 37.48583843594637, 127.00007819776154 37.48613806890934, 126.99998780493746 37.486453264908256, 126.99988415872103 37.48681326740812, 126.99987536198677 37.48681233925548, 126.99983233602116 37.48695844493617, 126.99970783644484 37.487396635792386, 126.99969112340415 37.48745166865782, 126.99963075316063 37.487542587688864, 126.99961451570809 37.48756671622671, 126.99951040806143 37.48772138928871, 126.99943258993491 37.4878373377144, 126.99935713481317 37.48795081738808, 126.9993342935659 37.487985154101786, 126.99939156219182 37.48804265700386, 126.99947254119817 37.488123901655534, 126.99961690632968 37.4882687218866, 126.9996851090941 37.48833730712567, 126.9997473532709 37.488399900581946, 126.99975188731332 37.488404721002624, 126.99973525186007 37.48851748096996, 126.99973439251364 37.4885176431371, 126.99972276703939 37.48859023657315, 126.99966717253487 37.488937355164246, 126.99962581553139 37.489197878787415, 126.99960829780585 37.489308305116445, 126.99959722627801 37.48937562768697, 126.99957452833627 37.48953999681569, 126.99938187488345 37.48953253320982, 126.99931440434712 37.489529919070755, 126.99913530838111 37.48952266254474, 126.99900674465847 37.48951747012212, 126.99877249190052 37.48950737371066, 126.99876710963981 37.489507139325454, 126.99855250901318 37.48949698887342, 126.99841071588484 37.4894909575393, 126.99826795035317 37.48948491699831, 126.9981247325658 37.48947859696166, 126.99798025967624 37.48947265513405, 126.99786509523946 37.48946766008943, 126.9978327904024 37.48946625352619, 126.99768974232414 37.48945939236733, 126.99754591402873 37.4894533058694, 126.99735762560105 37.48944601029943, 126.99734257563499 37.4894456043186, 126.99731012092172 37.48949594205889, 126.99731142122181 37.48949661785545, 126.99672562185931 37.490425112408296, 126.99672792827762 37.49042976166298, 126.99723458934561 37.49106169758718, 126.99730181907545 37.49114715085636, 126.99736751136754 37.49122834230157, 126.99771772944254 37.491661122435694, 126.99773497247801 37.49168244064973, 126.99779670981296 37.49172782598115, 126.99783552334857 37.491840632399494, 126.99789953037899 37.49195514246681, 126.99800211091481 37.49200920556187, 126.99884439180713 37.49245312325858, 126.99866698425764 37.49276490111773, 126.99820675875624 37.49350833110039, 126.99817857725424 37.49355858807392, 126.99816497294948 37.493578779093184, 126.99851076902102 37.49356824669851, 126.99853358850669 37.49356467030778, 126.99858405566859 37.49356457246105, 126.99954902617466 37.49358190067375, 126.9996306239789 37.493582757953945, 126.9997539028162 37.493579318038066, 126.9997905404497 37.49357801212924, 126.999893115272 37.493539081383666, 127.00002554396688 37.493442351794315, 127.00004860114261 37.49342164710824, 127.00014087495059 37.493338783268776, 127.00021516879193 37.49327181279585, 127.00027209251633 37.49327316490867, 127.00028264274728 37.493273092939305, 127.00034284602035 37.49325729902607, 127.00048689730039 37.49321859341743, 127.00053384732676 37.493230676224485, 127.00070611062844 37.4932752499912, 127.00074393519945 37.49329554075982, 127.0009006501124 37.4933823439995, 127.00107372785155 37.49347713896041, 127.0010854201703 37.49348346402195, 127.00108556717196 37.49348361719245, 127.00109970194539 37.493499186519, 127.001197277266 37.49360839700263, 127.00153710248613 37.493638076362714, 127.00158742269261 37.49363998646255, 127.00166371702058 37.493563482503575, 127.00186152543903 37.49341697051969, 127.00193838476405 37.49336003609407, 127.00200953373334 37.49333814152364, 127.00219134109832 37.49328218853765, 127.00218082586133 37.49340297662844, 127.00216115210054 37.49362889341686, 127.00221927593942 37.49375503304764, 127.00220254107066 37.493849638116025, 127.00222645801293 37.49391750127219, 127.00226236177835 37.49401938609573, 127.00234694640089 37.494111197398006, 127.00235297441024 37.49418780034665, 127.00235746432344 37.49424481557265, 127.00235022748896 37.494270638273775, 127.00233462304702 37.494326266100536, 127.00231641812842 37.49441861868696, 127.00233204699468 37.494526206943654, 127.00233394688863 37.494539262414776, 127.00225580955968 37.494668646471, 127.00206052007209 37.49478181307837, 127.00196485561746 37.495104821815005, 127.00191679627474 37.49514590756541, 127.00183131856183 37.495266290367255, 127.00176255397957 37.49536313896491, 127.0017434997662 37.495381339192434, 127.0016653038917 37.49545603217269, 127.00162459460404 37.49557991964145, 127.0016023740487 37.495636799754166, 127.00155685855671 37.49575327197399, 127.0015473597234 37.49594527494891, 127.0015403599132 37.495951888286, 127.0017076319058 37.49603438363649, 127.0017650667123 37.49606173787036, 127.00196783601245 37.496160207489346, 127.00186640127215 37.4962958983343, 127.00173536105972 37.496468854478955, 127.00171717731332 37.496491613753655, 127.00163824526112 37.49659642710921, 127.00159185843994 37.49665586607048, 127.0016545633839 37.496684950270286, 127.00166766979765 37.496691041009306, 127.00167410426812 37.496694410738144, 127.00167773425919 37.49669612263185, 127.00181664656648 37.496761769166774, 127.00169258271355 37.49693488741213, 127.0016779270643 37.496957052014174, 127.00174177445068 37.49698853282256, 127.00182040202056 37.49702583401413, 127.00192515220385 37.49707552380479, 127.00176773954689 37.49727842025345, 127.0017500079448 37.49729870178137, 127.00172384009917 37.497276275960665, 127.00153650421595 37.497497741735486, 127.00166103346561 37.497561847737494, 127.00153316825909 37.497712359728666, 127.00175562990331 37.49781623567437, 127.00188186743574 37.49787531386174, 127.00207233802126 37.49796668343571, 127.00236270959104 37.49810641765713, 127.00235531442677 37.49816453214848, 127.00233520970545 37.49834384010651, 127.00231771691755 37.49849806422603, 127.00382348545858 37.49849758490717, 127.00392847816599 37.49719255770377, 127.00473822526672 37.49732635479475, 127.00518437142148 37.49741845994019, 127.00521315162227 37.497420819660945, 127.00609385336575 37.49756029952836, 127.00630954253626 37.497593186452875, 127.00631240399328 37.49848365272105, 127.00631216716522 37.49849387005927, 127.00631125369065 37.498533369892066, 127.00630960715142 37.49860414342891, 127.00630754172292 37.499375650865446, 127.00630709984141 37.49953953356335, 127.00645056630904 37.499757281052375, 127.00647010930822 37.49977748062759, 127.00672835393945 37.49988311162492, 127.00701127416421 37.499973928491016, 127.00727617460187 37.49999409824551, 127.00743866184527 37.500011902957496, 127.00739064927156 37.50007442565816, 127.007340522923 37.50015069768364, 127.0073395658252 37.50020424408561, 127.00730462126218 37.500496511763714, 127.00728684129838 37.50061356137154, 127.00727010430327 37.500764470452744, 127.00717759166407 37.50099603156906, 127.00731678296758 37.50114065311201, 127.00788074444829 37.50010003368728, 127.00794377020834 37.499983738365906, 127.00829301348759 37.49988978972746, 127.00835381970305 37.49987343309609, 127.00853014129316 37.49956724534615, 127.00857215794791 37.49949427995872, 127.00851082054315 37.49902531369147, 127.00880864228068 37.49851073518314, 127.00884137795704 37.49848152277065, 127.00949128043614 37.49790143552664, 127.00964163573875 37.49776723948654, 127.01016949765706 37.49729609658304)))",8853,616,19705208,319743.5,44627614.17,1437.392078,23.32361952,61.1643885,3255.351533,1716.373896,22.96180016,27.72904054,3400.538914,0.069580933,3.759005916,-0.492165859,1.633420029,10
